Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	603171103561987	DM E9 YLW	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	55	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602896225689021	DM E9 BLK	$0.00	$0.00	$97.19	∞	0.00%	$0.00	1	1	596	18	3.02%	5.55%	3	$97.19	∞	0.00%	$0.00	1	1
5Core Coaxial Car Door Speakers 5” Pair 350W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	602647520241763	CS 05 2W WoG	$0.07	$0.07	$13.64	194.86	0.51%	$0.07	1	1	579	13	2.24%	7.69%	1	$13.64	194.86	0.51%	$0.07	1	1
5Core Coaxial Door Car Speakers 4” Pair 250W 4Ohm 2 Way Component Subwoofer Audio w Super Tweeter	602578800753862	CS 04 2W WoG	$0.33	$0.33	$0.00	0.00	0.00%	$0.00	0	0	4,833	140	2.89%	0.00%	15	$0.00	0.00	0.00%	$0.00	0	0
5Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics Copper XP	602694487998740	CONGO 3XP Copperex	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	72	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver Titanium Voice Coil 200W Max Audio Horn Speaker Tweeter System Extremely Loud	602800788450214	CD 90	$5.35	$5.35	$74.95	14.01	7.13%	$1.34	4	5	1,220	167	13.68%	2.39%	33	$74.95	14.01	7.13%	$1.34	4	5
5 Core Compression Driver 3.5 Inch Tweeter Horn Throat 220W Peak Loud 8 Ohm	602373170816555	CD 110 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Compression Driver 3.5 Inch Tweeter Horn Throat 220W Peak Loud 8 Ohm Titanium Diaphragm	602301901164962	CD 110	$41.20	$41.20	$423.84	10.29	9.72%	$2.17	19	22	13,102	747	5.70%	2.54%	67	$403.98	9.81	10.19%	$2.29	18	21
5 Core Capo Acoustic Electric Guitar 6 String Kapo 2 Pair Quick And Easy Adjustment Classic Clip For Banjo Mandolin	602649659335758	CAPO BRWG 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Capo Pair Quick Change Acoustic Electric String Clip Banjo Mandolin Or Ukulele Silver	602848267980643	CAPO AL SLV 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Megaphone 30W Bull Horn PA Speaker w 800 Yards Range Loud Siren Voice Amplifier Portable	603045870057558	6R	$0.00	$0.00	$150.85	∞	0.00%	$0.00	14	16	1,735	118	6.80%	11.86%	33	$150.85	∞	0.00%	$0.00	14	16
5 Core 1 Way Passive Cross Over Network Frequency Divider Metalised Polyester Capacitors	602564842094662	NW 05 2PCS	$0.37	$0.37	$7.08	19.14	5.22%	$0.13	3	4	3,083	99	3.21%	3.03%	13	$7.08	19.14	5.22%	$0.13	3	4
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602624971668166	SS HD 2 PK 4.5 FT YLW WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	98	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603174727424876	SS HD 2 PK 4.5 FT SKY BLU WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602624971646812	SS HD 2 PK 4.5 FT RED WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	76	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603174727430761	SS HD 2 PK 4.5 FT ORG WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602624971661988	SS HD 2 PK 4.5 FT GR WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	90	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2Pc 3 in 1 Desktop Microphone Stands Adjustable Table Microfono Holder w Phone Clamp	602405391423890	MS RBS BOOM 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 2 Tier Keyboard Stand Combo Heavy Duty Adjustable Piano Stand with Extension Arm	603126006442571	KS 2X BPNK+ KS 2T PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	10	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 12 Inch Guitar Speaker 200W 4 Ohm Amp Cabinet Replacement Amplifier Woofer	602371031681898	SP 12120 4OHM GTR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2 Pcs Floor Height Adjustable Tripod Microphone Stands w Extending Telescoping Boom Arm	602762410580087	MS DBL G D-BLU 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	171	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	602436529935202	MS DBL 2 PCS	$0.00	$0.00	$18.99	∞	0.00%	$0.00	1	1	453	11	2.42%	9.09%	1	$18.99	∞	0.00%	$0.00	1	1
5Core Keyboard Stand Adjustable Height 34.5" Width 32.5” Z Style Electric Piano Riser 250Lb Capacity	602506818106662	KS Z1 ECO BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Adjustable Height 36.5" Width 32.5” Z Style Electric Piano Riser 250Lb Capacity	602624661290888	KS Z1 ECO RED WHLS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Adjustable 26.5" Drummer Stool w Velvet Top 441Lb Capacity	602642109543821	DS VEL CMLBRW REST-SWL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	11	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Adjustable 26.5" Drummer Stool w Velvet Top 441Lb Capacity	602828672230562	DS VEL BLU REST-SWL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne with Backrest 4 Inch Padded Seat Adjustable Height up to 26.5 Inch Velvet Top Stool	602985438494334	DS VEL BLK REST-SWL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift Adjustable 25.5" Drummer Chair 441Lb Capacity	602560236723079		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 2" Replacement Phenolic Tweeter Diaphragm Voice Coil High Pitch Horn	603045601627478	DP 200 1Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1,924	56	2.91%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core 1 Way Passive Cross Over Network Frequency Divider Metalised Polyester Capacitors	602564842065955	NW 05 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	280	4	1.42%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Professional 2 Way Passive Crossover Network High Performance & Low Resistance Air Core Coil	602839720018705	NW 04 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone 2Pcs Lavalier Mic Wearable Omnidirectional Condenser 3.5mm Body Microfono	602405391457587	CM MOB 2M 2Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Lavalier Microphone Clip On Professional Grade 3.5mm Lav Lapel Mic Omnidirectional	602289964176609	CM 001 ADP 2Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Capo Pair Quick Change Acoustic Electric String Clip Banjo Mandolin Or Ukulele Yellow	602278916404925	CAPO AL RED 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo 2Pc Acoustic Electric Guitar 6String Kapo Clip Banjo Mandolin Ukulele	602772032290935	CAPO BLUE 2 Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 15 Inch Guitar Amp Speaker Replacement 220W 8 Ohm Low Distortion for Guitar Cabinets	602605602334949	WF 15 140 8OHM GTR	$0.08	$0.08	$0.00	0.00	0.00%	$0.00	0	0	535	38	7.10%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5Core Couple Karaoke Microphone Pair Handheld Dynamic XLR Mic for Him & Her Clear Sound Stylish Look	602330724406881	ND 807+959	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	259	7	2.70%	0.00%	5	$0.00	0.00	0.00%	$0.00	0	0
5Core 10 inch Subwoofer Speaker PA DJ Replacement Sub Woofers	602473699868344	WF 10120 8OHM	$0.00	$0.00	$488.60	∞	0.00%	$0.00	30	35	28,478	1,251	4.39%	2.39%	124	$488.60	∞	0.00%	$0.00	30	35
5 CORE Outdoor Speakers Stereo in Wall Speaker Pair 100W Peak Passive Mount Wired Patio House Garage Indoor Exterior Audio System Bocinas para Casa - WS-11 5 2PCS	602209970398589	WS-11 5 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tom Snare Mic Cardioid Dynamic Microphone for Drum Kit Precision Instrument COPPER	602398001040538	TOM XP COPPEREX	$0.01	$0.01	$44.68	4468.00	0.02%	$0.01	2	2	163	8	4.90%	25.00%	2	$44.68	4468.00	0.02%	$0.01	2	2
5 Core Kick Drum Microphone Cardioid Dynamic Bass Mic Swivel Adjustable Durable Steel Mesh Grille	602600938264233	TOM XP New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands WHITE	602714620694767	SS HD 1 PK WH BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Height Adjustable PA DJ Tripod Studio Monitor Stands w 35mm Compatible Insert	602398537953856	SS ECO 1PK SKY BLU WoB New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	186	1	0.53%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Solder Wire DIY Tin Lead for Soldering Components	602255528936524	solder wire 5 pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic RED	602295861410983	RTRO MIC RED	$0.00	$0.00	$29.99	∞	0.00%	$0.00	1	1	280	9	3.21%	11.11%	1	$29.99	∞	0.00%	$0.00	1	1
5 Core 3in1 Multifunctional Mic Stand Desk Adjustable Desktop Table Microphone Stands w 180° Rotating Mic Clip Phone Holder Super Stable Round Base w Universal Metal Adapter Black - MS RBS BOOM	602482960924043	MS RBS BOOM	$15.78	$15.78	$223.50	14.16	7.06%	$0.72	22	30	10,407	282	2.70%	7.80%	51	$193.70	12.28	8.14%	$0.76	21	26
5 Core Popcorn Machine 16 Cup Capacity Hot Air Popper Mini Portabl Electric Pop Corn Maker Maquina Para Hacer Palomitas De Maiz - POP Y	602285593745864	POP Y	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 9 Inch PA Horn 200W Loud Speaker Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - UHC 150 1Pc	602235194995836	UHC 150 1Pc	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602368338929737	ND-57X	$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	517	13	2.51%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602831792798534	ND 3200X	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Audio Mixer 24 Channel DJ Sound Board w Bluetooth USB PC Recording PA Analog Mixing Interface	603027045992539	MX 24CH L	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Music Sheet Page Holder Clip Black Durable Plastic Music Score Fixed Clips	602805351897533	MUS CLIP 1PC	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	241	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Music Stand For Sheet Music Portable Tripod Adjustable Folding Note Holder RED	603200958659610	MUS FLD RED	$0.00	$0.00	$8.99	∞	0.00%	$0.00	1	1	72	1	1.38%	100.00%	0	$8.99	∞	0.00%	$0.00	1	1
5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand	603263671849222		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	103	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand	602978861810953		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	92	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Floor Universal Height Adjustable Tripod Microphone Stands 4Pcs w Extending Telescoping Boom Arm Foldable Portable w 2 Mic Holder for Studio On Stage Sky Blue - MS 080 SKY BLU	602881151356826		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	64	1	1.56%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603037288512181	PM 286 BLU	$0.00	$0.00	$61.44	∞	0.00%	$0.00	12	12	7,685	243	3.16%	4.93%	47	$61.44	∞	0.00%	$0.00	12	12
5 Core Wireless Charging Pad 15W Max Fast Wire Less Phone Charger Glass Top Slim USB-C - CDKW04 W	602596609745382	CDKW04 W	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Double Guitar Stand Floor Rack – Adjustable A-Frame Foldable Holder for Acoustic & Electric Guitars	603183241874800	GSS 2N1 YLW	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Stand 2Pc A Frame w Soft Foam Arms Non-Slip Rubber for Acoustic Electric Bass Guitar Ukulele & Banjo Stable Foldable Metal Floor Stand for School Studio & Stage Red - GSS RED 2PCS	602972419407459	GSS RED 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	194	3	1.54%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne Padded Adjustable Guitar Stool Drummer Seat RED	602223518029066		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 3" Thick Padded Memory Foam Comfortable Drummer Stool 200Lb Capacity Adjustable	603030804123249	DS CH GR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Bass Drum Pedal Mount Adjustable Felt Beater Head Single Chain Heavyduty Kick Drum Foot Pedal	602680797790780	DFP 04	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 12 Inch Speaker Car Audio 200W Powerful Replacement Component Driver 4Ohm Loudspeaker System	602590746087130	SP 12120 4OHMS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core PA Horn Speaker 200W Peak Power Tweeter Diaphragm 15X5 Inch Screw-On Horn	603184382707730	HISE 15X5 1PC	$7.61	$7.61	$122.72	16.13	6.20%	$0.85	9	16	17,453	671	3.84%	1.34%	74	$122.72	16.13	6.20%	$0.85	9	16
5Core Capo Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele GOLD	602806425631778	CAPO GLD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	225	5	2.22%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Floor Universal Height Adjustable Tripod Microphone Stands Holds 2 Mics w Extending Telescoping Boom Arm Foldable Portable for Studio On Stage Sky Blue - MS DBL G SKY BLU	603073787344987	MS DBL G SKY BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	280	1	0.35%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Capo Acoustic Guitar 6 String Capo Clip For Banjo Mandolin Ukulele White	602598119703277	CAPO WH 1pc	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 CORE Professional Omnidirectional Lavalier Microphone 3.5mm Clip-On Lapel Mic for Smartphone DSLR Camera PC Interview Video Camcorders Audio Recorder - CM MOB 2M	602323241810230	CM MOB 2M	$0.00	$0.00	$173.32	∞	0.00%	$0.00	43	50	35,068	787	2.24%	5.46%	157	$159.36	∞	0.00%	$0.00	39	46
5Core XLR Connector Male Female to 1/4 Audio Jack 3 Pin Secure Mic Plug w Locking Ends	602761328447963	XLR 10 pair	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	122	1	0.81%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo Acoustic Electric Guitar String Clip + 6Pcs Guitar Picks Celluloid + Carry Bag - CAPO AL YLW	602589529759209	CAPO AL YLW	$0.00	$0.00	$5.37	∞	0.00%	$0.00	3	3	789	23	2.91%	13.04%	8	$3.58	∞	0.00%	$0.00	2	2
5Core Capo Acoustic Electric Guitar String Clip + 6Pcs Guitar Picks Celluloid + Carry Bag - CAPO AL SLV	602611809885767	CAPO AL SLV	$0.62	$0.62	$11.10	17.90	5.58%	$0.11	6	6	1,796	58	3.22%	10.34%	17	$11.10	17.90	5.58%	$0.11	6	6
5 Core Guitar Foot Stool Height Adjustable Folding Leg Rest Portable Classical Footrest - GFS WHTE	602772065887600	GFS WHTE	$0.07	$0.07	$20.97	299.57	0.33%	$0.03	3	3	765	16	2.09%	18.75%	2	$20.97	299.57	0.33%	$0.03	3	3
5 Core 2 Inch Universal Diaphragm Replacement 50 Pack Phenolic Voice Coil 51mm with Kapton Former Diameter Horn Compression Driver Great Sound Quality DIY High Pitch Horn Sound Voice Coil - DP1 50PCS	602367265200075	DP1 50PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Music Stand Adjustable 57" Desktop Book Stands Sheet Holder All Metal Portable Bookstand	602228215642371	MUS FLD GR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	98	4	4.08%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Piano Bench 3" Padded Cushioned Stool w Backrest Heavy Duty Musician Chair Height Adjustable - PNB B-REST WH	602975003096646	PNB B-REST WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	53	3	5.66%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core DJ Audio Mixer 24 Channel Stereo Sound Board w 256 effects USB Bluetooth 48V Phantom Power	602837027289153	MX 24CH XU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Clip Holder 2 Pieces with Screw Adapters 5/8 to 3/8 Inch	602652343659162	MC 02 2PCS	$0.09	$0.09	$13.47	149.67	0.66%	$0.01	12	12	25,172	643	2.55%	1.86%	111	$7.88	87.56	1.14%	$0.02	7	7
5 CORE Dynamic Vocal Microphone Wired Handheld Cardioid Mic for Singing Karaoke, Metal Body with ON/OFF Switch, 16ft Detachable Cable, Mic Clip & Carry Bag – ND-7800X	602411825476522	ND-7800X	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Podcast Microphone Bundle, Dynamic Cardioid XLR Mic with Tripod Stand & XLR-to-1/8" Cable	602311967496903	MIC CROWN	$0.05	$0.05	$34.05	681.00	0.14%	$0.02	4	5	5,788	138	2.38%	2.89%	26	$27.24	544.80	0.18%	$0.02	3	4
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602853133364398	PM 305	$0.00	$0.00	$4.79	∞	0.00%	$0.00	1	1	277	3	1.08%	33.33%	0	$4.79	∞	0.00%	$0.00	1	1
5 Core Megaphone 50W Bull Horn Professional PA Speaker w 1200 Yards Range Loud Siren Voice Amp	602512354545475	66SF	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	169	1	0.59%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Lavalier Microphone Clip On Professional Grade 3.5mm Lapel Mic Omnidirectional Lav Mic	602827497780968	CM 001 New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	281	6	2.13%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Lavalier Microphone Clip On Professional Grade 3.5mm Lav Lapel Mic Omnidirectional	603021845084593	CM 001 ADP New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 CORE Microphone Dynamic Vocal Handheld Mic Cardioid Unidirectional Microfono w On Off Switch + XLR Audio Cable for Singing - PM 757	603288133065591	PM 757 New	$3.56	$3.56	$654.84	183.94	0.54%	$0.04	102	153	75,926	1,848	2.43%	5.51%	487	$633.44	177.93	0.56%	$0.04	97	148
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602414644062075	PM 600 New	$0.00	$0.00	$11.94	∞	0.00%	$0.00	2	2	378	7	1.85%	28.57%	1	$11.94	∞	0.00%	$0.00	2	2
5 CORE Microphone Dynamic Vocal Handheld Mic Cardioid Unidirectional Microfono w On Off Switch + XLR Audio Cable for Singing - PM 286 WH	603125998008104	PM 286 WH New	$0.65	$0.65	$20.96	32.25	3.10%	$0.17	4	4	1,449	47	3.24%	8.51%	9	$20.96	32.25	3.10%	$0.17	4	4
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	603269879431494	ND 58 BLK New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Microfono Handheld Mics	602445245677944	ND 235X	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo Acoustic Electric Guitar String Clip + 6Pcs Guitar Picks Celluloid + Carry Bag - CAPO AL BLU	602896552844403	CAPO AL BLU	$0.00	$0.00	$1.85	∞	0.00%	$0.00	1	1	298	5	1.67%	20.00%	1	$1.85	∞	0.00%	$0.00	1	1
5Core Capo Acoustic Electric Guitar String Clip + 6Pcs Guitar Picks Celluloid + Carry Bag - CAPO AL RED	602540070560405	CAPO AL RED	$0.21	$0.21	$5.61	26.71	3.74%	$0.07	3	3	852	27	3.16%	11.11%	9	$5.61	26.71	3.74%	$0.07	3	3
5CoreDouble Guitar Stand Floor Rack – Adjustable A-Frame Foldable Holder for Acoustic & Electric Guitars	603158008984450	GSS 2N1 PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	97	1	1.03%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Acoustic Guitar Strings Brass Heavy Duty Medium Gauge (.013–.056) High Carbon Steel Core Bright & Powerful Tone 6 String Set for All Acoustic Guitars - GS AC BRSS HD	602904605901274	GS AC BRSS HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	171	4	2.33%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Microphone Clip Holder 6 Pieces with Screw Adapters 5/8 to 3/8 Inch	602908363986871	MC 02 6PCS	$0.71	$0.71	$14.95	21.06	4.74%	$0.18	4	5	2,382	51	2.14%	7.84%	8	$14.95	21.06	4.74%	$0.18	4	5
5 Core Piano Bench 3" Padded Cushioned Stool w Backrest Heavy Duty Musician Chair Height Adjustable - PNB B-REST BLK	602795084222694	PNB B-REST BLK	$10.38	$10.38	$167.96	16.18	6.18%	$2.60	4	4	1,162	80	6.88%	5.00%	12	$167.96	16.18	6.18%	$2.60	4	4
